output_field,final_node_id,intermediate_node_id,input_field,rule_type,transform_desc
ВидДоговора_гр1,297,,ВидДоговора_гр1,direct,Прямой перенос
ВидОбязательств_гр1а,297,,ВидОбязательств_гр1а,direct,Прямой перенос
НомерДоговора2,297,,НомерДоговора2,direct,Прямой перенос
ДатаЗаключения3,297,,ДатаЗаключения3,direct,Прямой перенос
НаименованиеВкладчика4,297,,НаименованиеВкладчика4,direct,Прямой перенос
НомерСчета6_5,297,,НомерСчета6,direct,Прямой перенос
ИдентификаторФЛ_СНИЛС_6,297,,ИдентификаторФЛ_СНИЛС_6,direct,Прямой перенос
ИдентификаторФЛ_ИНН_7,297,,ИдентификаторФЛ_ИНН_7,direct,Прямой перенос
ДатаРождения8,297,,ДатаРождения8,direct,Прямой перенос
ДатаСмерти9,297,,ДатаСмерти9,direct,Прямой перенос
Пол10,297,,Пол10,direct,Прямой перенос
НомерСхемы11,297,,НомерСхемы11,direct,Прямой перенос
СтатусУчастника12,297,,СтатусУчастника12,direct,Прямой перенос
Фондирование13,297,,Фондирование13,direct,Прямой перенос
ОтветственностьЗаДополнительноеФондирование14,297,,ОтветственностьЗаДополнительноеФондирование14,direct,Прямой перенос
МинимальнаяГарантированнаяДоходность15,297,,МинимальнаяГарантированнаяДоходность15,direct,Прямой перенос
СрокГарантированногоДохода16,297,,СрокГарантированногоДохода16,direct,Прямой перенос
ВеличинаИндексации17,297,,ВеличинаИндексации17,direct,Прямой перенос
ЗависимостьУровняИндексации18,297,,ЗависимостьУровняИндексации18,direct,Прямой перенос
Наследование19,297,,Наследование19,direct,Прямой перенос
НачальныйОстаток20,297,,НачальныйОстаток20,direct,Прямой перенос
ДатаНачалаВыплатногоПериода21,297,,ДатаНачалаВыплатногоПериода21,direct,Прямой перенос
ПериодВыплаты22,297,,ПериодВыплаты22,direct,Прямой перенос
ПериодичностьВыплат23,297,,ПериодичностьВыплат23,direct,Прямой перенос
ДатаОкончанияВыплат24,297,,ДатаОкончанияВыплат24,direct,Прямой перенос
ДатаВыходаУчастника25,297,,ДатаВыходаУчастника25,direct,Прямой перенос
Взносы26,297,,Взносы26,direct,Прямой перенос
ИнвестиционныйДоход27,297,,ИнвестиционныйДоход27,direct,Прямой перенос
Перевод28,297,,Перевод28,direct,Прямой перенос
ПереводВрезервы28а,297,,ПереводВРезервы28а,direct,Прямой перенос
ИныеПереводы29,297,,ИныеПереводы29,direct,Прямой перенос
Пенсия30,297,,Пенсия30,direct,Прямой перенос
ВыкупнаяСумма31,297,,ВыкупнаяСумма31,direct,Прямой перенос
ВыплатаПравопреемникам32,297,,ВыплатаПравопреемникам32,direct,Прямой перенос
ЕдиновременнаяВыплата32а,297,,,computed,0
ВыплатаОЖС32б,297,,,computed,0
КонечныйОстаток33,297,,КонечныйОстаток33,direct,Прямой перенос
СуммаОбязательствПоВСНаКонец34,297,,СуммаОбязательствПоВСНаКонец34,direct,Прямой перенос
СуммаОбязательствПередППНаКонец35,297,,РасчетнаяСуммаПП43,direct,Прямой перенос
ТипДоговора36,297,,ТипДоговора36,direct,Прямой перенос
Графа37,297,,РазмерПенсии37,direct,Прямой перенос
ДатаНазначенияПенсии38,297,,ДатаНазначенияПенсии38,direct,Прямой перенос
ДатаПриостановкиВыплат38_1,297,,ДатаПриостановкиВыплат38_1,direct,Прямой перенос
ЗадолженностьПенсии38_2,297,,ЗадолженностьПенсии38_2,direct,Прямой перенос
Графа39,297,,Графа39,direct,Прямой перенос
ПериодГарантийногоВосполнения39_1,297,,ПериодГарантийногоВосполнения39_1,direct,Прямой перенос
ДатаНачалаПериодаФиксации39_2,297,,ДатаНачалаПериодаФиксации39_2,direct,Прямой перенос
ИнвестДоходКФиксации39_3,297,,ИнвестДоходКФиксации39_3,direct,Прямой перенос
ГруппаРаздельногоУчета40,297,,ГруппаРаздельногоУчета40,direct,Прямой перенос
ВидПенсионнойПрограммы41,297,,ВидПенсионнойПрограммы,direct,Прямой перенос
ДатаОснованийИзъятия42,297,,ДатаОснованийИзъятия42,direct,Прямой перенос
УсловиеПрямогоУчастия43,297,,УсловиеПрямогоУчастия_МодельОценки43,direct,Прямой перенос
ИдентификаторДоговора,297,,НомерДоговора2,direct,Прямой перенос
ИдентификаторВкладчика,297,,ИдентификаторВкладчика,direct,Прямой перенос
ИдентификаторУчастника,297,,ИдентификаторУчастника,direct,Прямой перенос
СрокГарантированногоДохода16_Расшифровка,297,,СрокГарантированногоДохода16_Расшифровка,direct,Прямой перенос
ЗависимостьУровняИндексации18_Расшифровка,297,,ЗависимостьУровняИндексации18_Расшифровка,direct,Прямой перенос
НомерСчета,297,,НомерСчета,direct,Прямой перенос
ТипВкладчика,297,,ТипВкладчика,direct,Прямой перенос
ТипПенсионногоСчета,297,,ТипПенсионногоСчета,direct,Прямой перенос
ДатаОпределенияОбязательств,297,,ДатаОпределенияОбязательств,direct,Прямой перенос
ИзмененияОбязательств,297,,ИзмененияОбязательств,direct,Прямой перенос
