from_id,to_id,fromname,toname,relation
1,25,ВТ_ТипыРезервов,Подзапрос_1,ref
1,26,ВТ_ТипыРезервов,Подзапрос_2,ref
1,27,ВТ_ТипыРезервов,Подзапрос_3,ref
1,28,ВТ_ТипыРезервов,Подзапрос_4,ref
1,29,ВТ_ТипыРезервов,Подзапрос_5,ref
1,30,ВТ_ТипыРезервов,Подзапрос_6,ref
1,97,ВТ_ТипыРезервов,Подзапрос_13,ref
1,127,ВТ_ТипыРезервов,ВТ_ПенсионныеСчета_Орг_ПС_ТР,ref
1,172,ВТ_ТипыРезервов,Подзапрос_27,ref
1,218,ВТ_ТипыРезервов,Подзапрос_38,ref
1,224,ВТ_ТипыРезервов,Подзапрос_39,ref
1,230,ВТ_ТипыРезервов,Подзапрос_42,ref
1,232,ВТ_ТипыРезервов,Подзапрос_43,ref
16,154,ВТ_ВидыПаспортов,Подзапрос_24,ref
16,156,ВТ_ВидыПаспортов,Подзапрос_25,ref
17,72,ВТ_ДокументыСторно,Часть_1,ref
17,73,ВТ_ДокументыСторно,Часть_2,ref
17,252,ВТ_ДокументыСторно,ВТ_СторнированныеСуммы,ref
22,99,ВТ_ПереводыИзРегистров_ВидыДвижений,Часть_1,ref
22,234,ВТ_ПереводыИзРегистров_ВидыДвижений,Часть_1,ref
23,100,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,Часть_2,ref
23,235,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,Часть_2,ref
24,44,ВТ_ПенсионныеСчета_ПР,Часть_1,ref
24,45,ВТ_ПенсионныеСчета_ПР,Часть_2,ref
43,47,ВТ_ПенсионныеСчета,Подзапрос_7,ref
43,49,ВТ_ПенсионныеСчета,Подзапрос_8,ref
43,51,ВТ_ПенсионныеСчета,Подзапрос_9,ref
43,53,ВТ_ПенсионныеСчета,Подзапрос_10,ref
43,55,ВТ_ПенсионныеСчета,Подзапрос_11,ref
43,56,ВТ_ПенсионныеСчета,ВТ_СостояниеНачалоПериода,ref
43,57,ВТ_ПенсионныеСчета,Подзапрос_12,ref
43,58,ВТ_ПенсионныеСчета,ВТ_ВидОбязательствНачало,ref
43,59,ВТ_ПенсионныеСчета,ВТ_ИзмененияВидаОбязательств_Предв,ref
43,115,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,ref
43,116,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчетаСПТ,ref
43,117,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета_Свойства,ref
43,118,ВТ_ПенсионныеСчета,Подзапрос_14,ref
43,119,ВТ_ПенсионныеСчета,Подзапрос_15,ref
43,120,ВТ_ПенсионныеСчета,Подзапрос_16,ref
43,121,ВТ_ПенсионныеСчета,Подзапрос_17,ref
43,122,ВТ_ПенсионныеСчета,Подзапрос_18,ref
43,124,ВТ_ПенсионныеСчета,Подзапрос_19,ref
43,135,ВТ_ПенсионныеСчета,Подзапрос_22,ref
43,171,ВТ_ПенсионныеСчета,ВТ_Корректировки,ref
43,229,ВТ_ПенсионныеСчета,ВТ_ПеремещенияВСтраховойРезерв,ref
43,231,ВТ_ПенсионныеСчета,ВТ_ВозвратыПенсий,ref
43,234,ВТ_ПенсионныеСчета,Часть_1,ref
43,235,ВТ_ПенсионныеСчета,Часть_2,ref
43,253,ВТ_ПенсионныеСчета,Подзапрос_44,ref
43,254,ВТ_ПенсионныеСчета,Подзапрос_45,ref
43,256,ВТ_ПенсионныеСчета,Подзапрос_46,ref
43,272,ВТ_ПенсионныеСчета,Подзапрос_52,ref
43,274,ВТ_ПенсионныеСчета,Подзапрос_53,ref
43,284,ВТ_ПенсионныеСчета,ВТ_ПоследниеВыплаты,ref
43,285,ВТ_ПенсионныеСчета,ВТ_ПоследниеВыплатыПоРегиструВыплат,ref
46,115,ВТ_ПричиныЗакрытия,ВТ_ПенсионныеСчета_Свойства_ТранзитныеОбязательства,ref
46,117,ВТ_ПричиныЗакрытия,ВТ_ПенсионныеСчета_Свойства,ref
46,134,ВТ_ПричиныЗакрытия,ВТ_СхемыПенсионныхСчетов,ref
