node_id,node_name,join_type,left_source,left_alias,right_source,right_alias,on_expression
54,ВТ_ВыплатныеНачалоПериода,LEFT JOIN,РегистрСведений.уп_СостоянияПС.СрезПервых,РегистрСведений.уп_СостоянияПС.СрезПервых,ВТ_ТипыПенсийНачалоПериода,ВТ_ТипыПенсийНачалоПериода,уп_СостоянияПССрезПервых.НомерСчета = ВТ_ТипыПенсийНачалоПериода.НомерСчета
56,ВТ_СостояниеНачалоПериода,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ТипыПенсийНачалоПериода,ВТ_ТипыПенсийНачалоПериода,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ТипыПенсийНачалоПериода.НомерСчета
58,ВТ_ВидОбязательствНачало,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_ВыплатныеНачалоПериода,ВТ_ВыплатныеНачалоПериода,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_ВыплатныеНачалоПериода.НомерСчета
58,ВТ_ВидОбязательствНачало,LEFT JOIN,ВТ_ПенсионныеСчета,ВТ_ПенсионныеСчета,ВТ_СостояниеНачалоПериода,ВТ_СостояниеНачалоПериода,ВТ_ПенсионныеСчета.ПенсионныйСчет = ВТ_СостояниеНачалоПериода.НомерСчета
66,ВТ_ВидыОбязательствДвижение,LEFT JOIN,ВТ_ВидыОбязательств,ВТ_ВидыОбязательств,ВТ_ВидыОбязательств,ВТ_ВидыОбязательств_1,ВТ_ВидыОбязательств.ПенсионныйСчет = ВТ_ВидыОбязательств_1.ПенсионныйСчет
68,ВТ_СчетаНеТранзитныеВидыОбязательств,LEFT JOIN,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет = ВТ_СчетаТранзитныеВидыОбязательств.ПенсионныйСчет
69,ВТ_НеТранзитныеВидыНачалоКонец,INNER JOIN,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,ВТ_СчетаНеТранзитныеВидыОбязательств,ВТ_СчетаНеТранзитныеВидыОбязательств,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет = ВТ_СчетаНеТранзитныеВидыОбязательств.ПенсионныйСчет
70,ВТ_ТранзитныеВидыНачалоКонец,INNER JOIN,ВТ_ВидыОбязательствДвижение,ВТ_ВидыОбязательствДвижение,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_СчетаТранзитныеВидыОбязательств,ВТ_ВидыОбязательствДвижение.ПенсионныйСчет = ВТ_СчетаТранзитныеВидыОбязательств.ПенсионныйСчет
71,ВТ_СторнированныеСуммыТранзитныеВиды,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ДокументыСторно,ВТ_ДокументыСторно,уп_НачисленияПенсий.Регистратор = ВТ_ДокументыСторно.ДокументСторно
71,ВТ_СторнированныеСуммыТранзитныеВиды,INNER JOIN,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ТранзитныеВидыНачалоКонец,ВТ_ДокументыСторно,ВТ_ДокументыСторно,уп_ПрочиеНачисления.Регистратор = ВТ_ДокументыСторно.ДокументСторно
