id,name,type,parent_id,max_parent_id,children_count,own_in_tables_count,is_stub,is_union_part,text_len
0,ВТ_ИСПОЛЬЗОВАТЬДЛЯНПО,temp_query,,0,0,0,true,false,156
1,ВТ_ТипыРезервов,temp_query,,1,14,0,false,false,1256
2,Часть_1,sub_query,1,1,0,0,false,true,91
3,Часть_2,sub_query,1,1,0,0,false,true,50
4,Часть_3,sub_query,1,1,0,0,false,true,72
5,Часть_4,sub_query,1,1,0,0,false,true,72
6,Часть_5,sub_query,1,1,0,0,false,true,78
7,Часть_6,sub_query,1,1,0,0,false,true,78
8,Часть_7,sub_query,1,1,0,0,false,true,64
9,Часть_8,sub_query,1,1,0,0,false,true,51
10,Часть_9,sub_query,1,1,0,0,false,true,86
11,Часть_10,sub_query,1,1,0,0,false,true,92
12,Часть_11,sub_query,1,1,0,0,false,true,77
13,Часть_12,sub_query,1,1,0,0,false,true,77
14,Часть_13,sub_query,1,1,0,0,false,true,67
15,Часть_14,sub_query,1,1,0,0,false,true,67
16,ВТ_ВидыПаспортов,temp_query,,16,0,1,false,false,227
17,ВТ_ДокументыСторно,temp_query,,17,4,0,false,false,993
18,Часть_1,sub_query,17,17,0,1,false,true,279
19,Часть_2,sub_query,17,17,0,1,false,true,195
20,Часть_3,sub_query,17,17,0,1,false,true,260
21,Часть_4,sub_query,17,17,0,1,false,true,205
22,ВТ_ПереводыИзРегистров_ВидыДвижений,temp_query,,22,0,1,false,false,611
23,ВТ_ПереводыИзРегистров_ВидыДвижений_ВРезервы,temp_query,,23,0,1,false,false,840
24,ВТ_ПенсионныеСчета_ПР,temp_query,,24,7,0,false,false,3995
25,Подзапрос_1,sub_query,24,24,0,1,false,false,93
26,Подзапрос_2,sub_query,24,24,0,1,false,false,93
27,Подзапрос_3,sub_query,24,24,0,1,false,false,93
28,Подзапрос_4,sub_query,24,24,0,1,false,false,93
29,Подзапрос_5,sub_query,24,24,0,1,false,false,93
30,Подзапрос_6,sub_query,24,24,0,1,false,false,93
31,Подзапрос,sub_query,24,24,11,0,false,false,3727
32,Часть_1,sub_query,31,24,0,1,false,true,298
33,Часть_2,sub_query,31,24,0,1,false,true,303
34,Часть_3,sub_query,31,24,0,1,false,true,357
35,Часть_4,sub_query,31,24,0,1,false,true,363
36,Часть_5,sub_query,31,24,0,1,false,true,327
37,Часть_6,sub_query,31,24,0,1,false,true,333
38,Часть_7,sub_query,31,24,0,1,false,true,213
39,Часть_8,sub_query,31,24,0,1,false,true,203
40,Часть_9,sub_query,31,24,0,1,false,true,343
41,Часть_10,sub_query,31,24,0,1,false,true,494
42,Часть_11,sub_query,31,24,0,1,false,true,325
43,ВТ_ПенсионныеСчета,temp_query,,43,2,0,false,false,505
44,Часть_1,sub_query,43,43,0,1,false,true,216
45,Часть_2,sub_query,43,43,0,1,false,true,275
46,ВТ_ПричиныЗакрытия,temp_query,,46,1,3,false,false,716
47,Подзапрос_7,sub_query,46,46,0,1,false,false,77
48,ВТ_ВидыПенсионныхСчетов,temp_query,,48,1,2,false,false,441
49,Подзапрос_8,sub_query,48,48,0,1,false,false,77
50,ВТ_ПенсионныеСчетаРПВ,temp_query,,50,1,1,false,false,379
51,Подзапрос_9,sub_query,50,50,0,1,false,false,80
52,ВТ_ТипыПенсийНачалоПериода,temp_query,,52,1,2,false,false,521
53,Подзапрос_10,sub_query,52,52,0,1,false,false,94
54,ВТ_ВыплатныеНачалоПериода,temp_query,,54,1,6,false,false,1341
